windspeed,airpressure,wind,windpower,winddirect,humidity,feelst,temperature,updatetime,phenomena,citycode,cityname
9999.0,0.0,东北风,4级,9.5,14.0,,4.2,2024-03-28 05:55,多云,101010200,海淀
9999.0,0.0,西北风,微风,8.9,13.0,,5.4,2024-03-28 06:55,多云,101010200,海淀
9999.0,0.0,西北风,微风,9.3,13.0,,6.0,2024-03-28 07:55,晴,101010200,海淀
9999.0,0.0,西北风,3级,9.7,11.0,,5.5,2024-03-28 08:55,晴,101010200,海淀
9999.0,0.0,西北风,4级,10.9,8.0,,5.3,2024-03-28 09:55,晴,101010200,海淀
9999.0,0.0,西北风,微风,12.4,8.0,,8.8,2024-03-28 10:55,晴,101010200,海淀
9999.0,0.0,西北风,3级,13.3,7.0,,9.5,2024-03-28 11:55,晴,101010200,海淀
9999.0,0.0,东北风,微风,9.6,79.0,,8.3,2024-03-27 12:55,阴,101010300,朝阳
9999.0,0.0,东北风,微风,10.2,76.0,,8.5,2024-03-27 13:55,阴,101010300,朝阳
9999.0,0.0,西北风,微风,10.7,75.0,,10.0,2024-03-27 14:55,阴,101010300,朝阳
9999.0,0.0,东北风,微风,10.4,85.0,,9.1,2024-03-27 15:55,阴,101010300,朝阳
9999.0,0.8,东北风,微风,11.0,80.0,,10.2,2024-03-27 16:55,小雨,101010300,朝阳
9999.0,0.0,西南风,微风,11.1,81.0,,10.5,2024-03-27 17:55,阴,101010300,朝阳
9999.0,0.0,东北风,微风,11.0,83.0,,10.6,2024-03-27 18:55,阴,101010300,朝阳
9999.0,0.0,东北风,微风,9.8,88.0,,8.9,2024-03-27 19:55,阴,101010300,朝阳
9999.0,0.0,西北风,微风,9.7,91.0,,9.4,2024-03-27 20:55,阴,101010300,朝阳
9999.0,0.0,东北风,微风,10.1,90.0,,9.6,2024-03-27 21:50,阴,101010300,朝阳
9999.0,0.4,东北风,微风,10.0,92.0,,9.3,2024-03-27 22:55,小雨,101010300,朝阳
9999.0,0.0,东北风,微风,9.9,92.0,,9.6,2024-03-27 23:55,阴,101010300,朝阳
9999.0,0.0,西南风,微风,9.2,94.0,,8.7,2024-03-28 00:55,阴,101010300,朝阳
9999.0,0.0,西北风,微风,13.4,16.0,,10.0,2024-03-28 01:55,多云,101010300,朝阳
9999.0,0.0,西北风,微风,12.6,14.0,,9.2,2024-03-28 02:55,多云,101010300,朝阳
9999.0,0.0,西北风,微风,11.6,15.0,,9.2,2024-03-28 03:55,多云,101010300,朝阳
9999.0,0.0,西北风,微风,10.6,15.0,,7.1,2024-03-28 04:55,多云,101010300,朝阳
9999.0,0.0,东北风,4级,9.5,14.0,,4.2,2024-03-28 05:55,多云,101010300,朝阳
9999.0,0.0,西北风,微风,8.9,13.0,,5.4,2024-03-28 06:55,多云,101010300,朝阳
9999.0,0.0,西北风,微风,9.3,13.0,,6.0,2024-03-28 07:55,晴,101010300,朝阳
9999.0,0.0,西北风,3级,9.7,11.0,,5.5,2024-03-28 08:55,晴,101010300,朝阳
9999.0,0.0,西北风,4级,10.9,8.0,,5.3,2024-03-28 09:55,晴,101010300,朝阳
9999.0,0.0,西北风,微风,12.4,8.0,,8.8,2024-03-28 10:55,晴,101010300,朝阳
9999.0,0.0,西北风,3级,13.3,7.0,,9.5,2024-03-28 11:55,晴,101010300,朝阳
9999.0,0.0,东北风,微风,12.0,67.0,,11.4,2024-03-27 12:55,阴,101010700,昌平
9999.0,0.0,东南风,微风,11.9,71.0,,10.6,2024-03-27 13:55,阴,101010700,昌平
9999.0,0.0,东南风,微风,10.7,81.0,,9.7,2024-03-27 14:55,阴,101010700,昌平
9999.0,0.2,西北风,微风,10.7,83.0,,10.0,2024-03-27 15:55,小雨,101010700,昌平
9999.0,0.0,西北风,微风,10.7,84.0,,9.9,2024-03-27 16:55,阴,101010700,昌平
9999.0,0.0,西南风,微风,10.8,81.0,,10.2,2024-03-27 17:55,阴,101010700,昌平
9999.0,0.0,西北风,微风,10.0,87.0,,9.7,2024-03-27 18:55,阴,101010700,昌平
9999.0,0.0,西南风,微风,9.3,90.0,,8.9,2024-03-27 19:55,阴,101010700,昌平
9999.0,0.0,9999,微风,9.2,91.0,,9.3,2024-03-27 20:55,阴,101010700,昌平
9999.0,0.0,西北风,微风,9.6,89.0,,8.9,2024-03-27 21:50,阴,101010700,昌平
9999.0,0.0,西南风,微风,9.4,91.0,,9.0,2024-03-27 22:55,多云,101010700,昌平
9999.0,0.0,西北风,3级,13.8,17.0,,9.7,2024-03-27 23:55,多云,101010700,昌平
9999.0,0.0,西北风,3级,13.8,11.0,,9.0,2024-03-28 00:55,多云,101010700,昌平
9999.0,0.0,西北风,3级,12.3,11.0,,7.9,2024-03-28 01:55,多云,101010700,昌平
9999.0,0.0,西北风,4级,11.5,12.0,,6.0,2024-03-28 02:55,多云,101010700,昌平
9999.0,0.0,西北风,4级,10.7,11.0,,4.5,2024-03-28 03:55,多云,101010700,昌平
9999.0,0.0,西北风,4级,9.8,12.0,,4.0,2024-03-28 04:55,多云,101010700,昌平
9999.0,0.0,西北风,4级,8.7,11.0,,3.3,2024-03-28 05:55,多云,101010700,昌平
9999.0,0.0,西北风,4级,7.3,14.0,,1.2,2024-03-28 06:55,多云,101010700,昌平
9999.0,0.0,西北风,3级,7.7,13.0,,2.8,2024-03-28 07:55,晴,101010700,昌平
9999.0,0.0,西北风,3级,8.2,12.0,,3.3,2024-03-28 08:55,晴,101010700,昌平
9999.0,0.0,西风,4级,9.1,12.0,,3.2,2024-03-28 09:55,晴,101010700,昌平
9999.0,0.0,西北风,4级,10.1,11.0,,3.6,2024-03-28 10:55,晴,101010700,昌平
9999.0,0.0,西北风,3级,12.1,9.0,,7.5,2024-03-28 11:55,晴,101010700,昌平
9999.0,0.0,东南风,微风,10.7,74.0,,9.9,2024-03-27 12:55,阴,101010800,延庆
9999.0,0.1,西北风,微风,10.5,76.0,,9.7,2024-03-27 13:55,小雨,101010800,延庆
9999.0,0.0,东北风,微风,11.1,73.0,,10.6,2024-03-27 14:55,阴,101010800,延庆
9999.0,0.0,东北风,微风,11.5,73.0,,10.8,2024-03-27 15:55,阴,101010800,延庆
9999.0,0.0,东北风,微风,11.1,73.0,,10.2,2024-03-27 16:55,阴,101010800,延庆
9999.0,0.0,东北风,微风,10.7,77.0,,9.8,2024-03-27 17:55,阴,101010800,延庆
9999.0,0.0,东北风,微风,9.5,81.0,,8.7,2024-03-27 18:55,阴,101010800,延庆
9999.0,0.0,东南风,微风,9.3,84.0,,8.4,2024-03-27 19:55,阴,101010800,延庆
9999.0,0.0,东南风,微风,9.2,81.0,,7.7,2024-03-27 20:55,阴,101010800,延庆
9999.0,0.0,西南风,微风,10.3,57.0,,7.7,2024-03-27 21:50,阴,101010800,延庆
9999.0,0.0,西南风,微风,12.3,15.0,,9.5,2024-03-27 22:55,多云,101010800,延庆
9999.0,0.0,西南风,3级,11.2,13.0,,6.8,2024-03-27 23:55,多云,101010800,延庆
9999.0,0.0,西南风,3级,9.4,11.0,,5.3,2024-03-28 00:55,多云,101010800,延庆
9999.0,0.0,西南风,3级,8.1,14.0,,3.8,2024-03-28 01:55,多云,101010800,延庆
9999.0,0.0,西南风,3级,7.3,14.0,,3.1,2024-03-28 02:55,多云,101010800,延庆
9999.0,0.0,西南风,微风,6.4,15.0,,3.1,2024-03-28 03:55,多云,101010800,延庆
9999.0,0.0,西南风,微风,5.3,13.0,,1.1,2024-03-28 04:55,多云,101010800,延庆
9999.0,0.0,西南风,微风,4.0,13.0,,0.0,2024-03-28 05:55,多云,101010800,延庆
9999.0,0.0,西南风,微风,3.4,19.0,,-0.7,2024-03-28 06:55,多云,101010800,延庆
9999.0,0.0,西南风,3级,4.4,15.0,,0.0,2024-03-28 07:55,晴,101010800,延庆
9999.0,0.0,西南风,3级,4.3,18.0,,-0.6,2024-03-28 08:55,晴,101010800,延庆
9999.0,0.0,西南风,5级,5.0,16.0,,-2.5,2024-03-28 09:55,晴,101010800,延庆
9999.0,0.0,西南风,3级,6.7,15.0,,1.3,2024-03-28 10:55,晴,101010800,延庆
9999.0,0.0,西南风,4级,7.7,13.0,,2.2,2024-03-28 11:55,晴,101010800,延庆
9999.0,0.0,东北风,微风,9.6,79.0,,8.3,2024-03-27 12:55,阴,101010900,丰台
9999.0,0.0,东北风,微风,10.2,76.0,,8.5,2024-03-27 13:55,阴,101010900,丰台
9999.0,0.0,西北风,微风,10.7,75.0,,10.0,2024-03-27 14:55,阴,101010900,丰台
9999.0,0.0,东北风,微风,10.4,85.0,,9.1,2024-03-27 15:55,阴,101010900,丰台
9999.0,0.8,东北风,微风,11.0,80.0,,10.2,2024-03-27 16:55,小雨,101010900,丰台
9999.0,0.0,西南风,微风,11.1,81.0,,10.5,2024-03-27 17:55,阴,101010900,丰台
9999.0,0.0,东北风,微风,11.0,83.0,,10.6,2024-03-27 18:55,阴,101010900,丰台
9999.0,0.0,东北风,微风,9.8,88.0,,8.9,2024-03-27 19:55,阴,101010900,丰台
9999.0,0.0,西北风,微风,9.7,91.0,,9.4,2024-03-27 20:55,阴,101010900,丰台
9999.0,0.0,东北风,微风,10.1,90.0,,9.6,2024-03-27 21:50,阴,101010900,丰台
9999.0,0.4,东北风,微风,10.0,92.0,,9.3,2024-03-27 22:55,小雨,101010900,丰台
9999.0,0.0,东北风,微风,9.9,92.0,,9.6,2024-03-27 23:55,阴,101010900,丰台
9999.0,0.0,西南风,微风,9.2,94.0,,8.7,2024-03-28 00:55,阴,101010900,丰台
9999.0,0.0,西北风,微风,13.4,16.0,,10.0,2024-03-28 01:55,多云,101010900,丰台
9999.0,0.0,西北风,微风,12.6,14.0,,9.2,2024-03-28 02:55,多云,101010900,丰台
9999.0,0.0,西北风,微风,11.6,15.0,,9.2,2024-03-28 03:55,多云,101010900,丰台
9999.0,0.0,西北风,微风,10.6,15.0,,7.1,2024-03-28 04:55,多云,101010900,丰台
9999.0,0.0,东北风,4级,9.5,14.0,,4.2,2024-03-28 05:55,多云,101010900,丰台
9999.0,0.0,西北风,微风,8.9,13.0,,5.4,2024-03-28 06:55,多云,101010900,丰台
9999.0,0.0,西北风,微风,9.3,13.0,,6.0,2024-03-28 07:55,晴,101010900,丰台
9999.0,0.0,西北风,3级,9.7,11.0,,5.5,2024-03-28 08:55,晴,101010900,丰台
9999.0,0.0,西北风,4级,10.9,8.0,,5.3,2024-03-28 09:55,晴,101010900,丰台
9999.0,0.0,西北风,微风,12.4,8.0,,8.8,2024-03-28 10:55,晴,101010900,丰台
9999.0,0.0,西北风,3级,13.3,7.0,,9.5,2024-03-28 11:55,晴,101010900,丰台
9999.0,0.0,东北风,微风,9.6,79.0,,8.3,2024-03-27 12:55,阴,101011000,石景山
9999.0,0.0,东北风,微风,10.2,76.0,,8.5,2024-03-27 13:55,阴,101011000,石景山
9999.0,0.0,西北风,微风,10.7,75.0,,10.0,2024-03-27 14:55,阴,101011000,石景山
9999.0,0.0,东北风,微风,10.4,85.0,,9.1,2024-03-27 15:55,阴,101011000,石景山
9999.0,0.8,东北风,微风,11.0,80.0,,10.2,2024-03-27 16:55,小雨,101011000,石景山
9999.0,0.0,西南风,微风,11.1,81.0,,10.5,2024-03-27 17:55,阴,101011000,石景山
9999.0,0.0,东北风,微风,11.0,83.0,,10.6,2024-03-27 18:55,阴,101011000,石景山
9999.0,0.0,东北风,微风,9.8,88.0,,8.9,2024-03-27 19:55,阴,101011000,石景山
9999.0,0.0,西北风,微风,9.7,91.0,,9.4,2024-03-27 20:55,阴,101011000,石景山
9999.0,0.0,东北风,微风,10.1,90.0,,9.6,2024-03-27 21:50,阴,101011000,石景山
9999.0,0.4,东北风,微风,10.0,92.0,,9.3,2024-03-27 22:55,小雨,101011000,石景山
9999.0,0.0,东北风,微风,9.9,92.0,,9.6,2024-03-27 23:55,阴,101011000,石景山
9999.0,0.0,西南风,微风,9.2,94.0,,8.7,2024-03-28 00:55,阴,101011000,石景山
9999.0,0.0,西北风,微风,13.4,16.0,,10.0,2024-03-28 01:55,多云,101011000,石景山
9999.0,0.0,西北风,微风,12.6,14.0,,9.2,2024-03-28 02:55,多云,101011000,石景山
9999.0,0.0,西北风,微风,11.6,15.0,,9.2,2024-03-28 03:55,多云,101011000,石景山
9999.0,0.0,西北风,微风,10.6,15.0,,7.1,2024-03-28 04:55,多云,101011000,石景山
9999.0,0.0,东北风,4级,9.5,14.0,,4.2,2024-03-28 05:55,多云,101011000,石景山
9999.0,0.0,西北风,微风,8.9,13.0,,5.4,2024-03-28 06:55,多云,101011000,石景山
9999.0,0.0,西北风,微风,9.3,13.0,,6.0,2024-03-28 07:55,晴,101011000,石景山
9999.0,0.0,西北风,3级,9.7,11.0,,5.5,2024-03-28 08:55,晴,101011000,石景山
9999.0,0.0,西北风,4级,10.9,8.0,,5.3,2024-03-28 09:55,晴,101011000,石景山
9999.0,0.0,西北风,微风,12.4,8.0,,8.8,2024-03-28 10:55,晴,101011000,石景山
9999.0,0.0,西北风,3级,13.3,7.0,,9.5,2024-03-28 11:55,晴,101011000,石景山
1008.0,0.0,东南风,微风,10.2,79.0,,9.2,2024-03-27 12:00,阴,101011100,大兴
1008.0,0.0,东北风,微风,10.3,78.0,,9.2,2024-03-27 13:00,阴,101011100,大兴
1007.0,0.0,东南风,微风,11.1,76.0,,9.9,2024-03-27 14:00,阴,101011100,大兴
1006.0,0.0,西北风,微风,10.9,77.0,,10.2,2024-03-27 15:00,阴,101011100,大兴
1005.0,0.0,东北风,微风,10.5,85.0,,9.8,2024-03-27 16:00,阴,101011100,大兴
9999.0,0.0,西北风,微风,11.5,80.0,,11.1,2024-03-27 17:55,阴,101011100,大兴
9999.0,0.0,东南风,3级,10.9,84.0,,8.7,2024-03-27 18:55,阴,101011100,大兴
9999.0,0.0,东北风,微风,9.7,88.0,,9.1,2024-03-27 19:55,阴,101011100,大兴
9999.0,0.0,东北风,微风,10.6,89.0,,9.9,2024-03-27 20:55,阴,101011100,大兴
9999.0,0.0,西南风,微风,10.1,87.0,,9.6,2024-03-27 21:50,阴,101011100,大兴
9999.0,0.0,9999,微风,9.7,90.0,,9.8,2024-03-27 22:55,阴,101011100,大兴
9999.0,0.0,西南风,微风,9.5,91.0,,9.2,2024-03-27 23:55,阴,101011100,大兴
9999.0,0.0,西北风,微风,9.3,92.0,,8.9,2024-03-28 00:55,阴,101011100,大兴
1006.0,0.0,西北风,3级,13.6,21.0,,9.6,2024-03-28 02:00,多云,101011100,大兴
9999.0,0.0,西北风,3级,12.4,13.0,,7.6,2024-03-28 03:55,多云,101011100,大兴
9999.0,0.0,西北风,微风,11.6,12.0,,8.6,2024-03-28 04:55,多云,101011100,大兴
1006.0,0.0,东北风,微风,9.8,16.0,,6.5,2024-03-28 06:00,多云,101011100,大兴
9999.0,0.0,西北风,微风,9.9,14.0,,6.2,2024-03-28 07:55,晴,101011100,大兴
9999.0,0.0,西北风,3级,10.4,10.0,,5.6,2024-03-28 08:55,晴,101011100,大兴
9999.0,0.0,西北风,4级,11.3,8.0,,5.6,2024-03-28 09:55,晴,101011100,大兴
1006.0,0.0,西北风,3级,13.3,8.0,,9.1,2024-03-28 11:00,晴,101011100,大兴
1007.0,0.0,东南风,微风,11.0,70.0,,9.6,2024-03-27 12:00,阴,101011200,房山
1007.0,0.0,东北风,微风,10.9,72.0,,9.8,2024-03-27 13:00,阴,101011200,房山
1003.0,0.0,东南风,3级,10.3,86.0,,7.1,2024-03-27 15:00,阴,101011200,房山
1005.0,0.0,西北风,3级,10.6,85.0,,8.3,2024-03-27 16:00,阴,101011200,房山
9999.0,0.0,东南风,微风,11.3,81.0,,10.4,2024-03-27 17:55,阴,101011200,房山
9999.0,0.0,西北风,微风,10.9,83.0,,10.1,2024-03-27 18:55,阴,101011200,房山
9999.0,0.0,西北风,微风,9.3,89.0,,8.7,2024-03-27 19:55,阴,101011200,房山
9999.0,0.0,西北风,微风,9.7,90.0,,9.4,2024-03-27 21:50,阴,101011200,房山
9999.0,0.0,东南风,微风,9.6,91.0,,9.1,2024-03-27 22:55,多云,101011200,房山
9999.0,0.0,西北风,微风,9.6,91.0,,9.4,2024-03-27 23:55,多云,101011200,房山
9999.0,0.0,西北风,微风,9.3,92.0,,8.7,2024-03-28 00:55,多云,101011200,房山
1005.0,0.0,西北风,4级,12.8,20.0,,7.0,2024-03-28 02:00,多云,101011200,房山
9999.0,0.0,东北风,3级,11.4,16.0,,7.1,2024-03-28 03:55,多云,101011200,房山
9999.0,0.0,东北风,3级,10.7,15.0,,5.8,2024-03-28 04:55,多云,101011200,房山
1004.0,0.0,西北风,4级,9.9,14.0,,3.9,2024-03-28 06:00,多云,101011200,房山
9999.0,0.0,西北风,4级,9.5,13.0,,3.2,2024-03-28 07:55,晴,101011200,房山
9999.0,0.0,东北风,4级,10.3,11.0,,4.0,2024-03-28 08:55,晴,101011200,房山
9999.0,0.0,东北风,4级,11.9,9.0,,6.1,2024-03-28 09:55,晴,101011200,房山
9999.0,0.0,东北风,4级,13.8,9.0,,7.7,2024-03-28 11:55,晴,101011200,房山
9999.0,0.0,东北风,微风,11.4,70.0,,10.5,2024-03-27 12:55,阴,101011400,门头沟
9999.0,0.0,东南风,微风,11.9,67.0,,10.8,2024-03-27 13:55,阴,101011400,门头沟
9999.0,0.0,西北风,微风,10.3,85.0,,9.0,2024-03-27 14:55,阴,101011400,门头沟
9999.0,0.8,西北风,微风,10.3,87.0,,8.7,2024-03-27 15:55,小雨,101011400,门头沟
9999.0,0.0,西南风,微风,11.0,82.0,,10.7,2024-03-27 16:55,阴,101011400,门头沟
9999.0,0.0,西南风,微风,11.3,81.0,,10.0,2024-03-27 17:55,阴,101011400,门头沟
9999.0,0.0,东南风,微风,10.5,85.0,,10.2,2024-03-27 18:55,阴,101011400,门头沟
9999.0,0.0,东北风,微风,9.4,90.0,,8.4,2024-03-27 19:55,阴,101011400,门头沟
9999.0,0.0,东北风,微风,9.6,89.0,,8.9,2024-03-27 20:55,阴,101011400,门头沟
9999.0,0.0,西北风,微风,10.0,87.0,,9.6,2024-03-27 21:50,阴,101011400,门头沟
9999.0,0.0,西南风,微风,10.0,88.0,,9.2,2024-03-27 22:55,多云,101011400,门头沟
9999.0,0.0,北风,微风,9.8,89.0,,8.6,2024-03-27 23:55,多云,101011400,门头沟
9999.0,0.0,西北风,3级,13.7,19.0,,9.6,2024-03-28 00:55,多云,101011400,门头沟
9999.0,0.0,西北风,微风,12.9,17.0,,9.9,2024-03-28 01:55,多云,101011400,门头沟
9999.0,0.0,西北风,3级,12.0,14.0,,7.8,2024-03-28 02:55,多云,101011400,门头沟
9999.0,0.0,西北风,微风,11.2,15.0,,8.1,2024-03-28 03:55,多云,101011400,门头沟
9999.0,0.0,西北风,4级,10.7,12.0,,5.2,2024-03-28 04:55,多云,101011400,门头沟
9999.0,0.0,西北风,3级,9.4,13.0,,4.5,2024-03-28 05:55,多云,101011400,门头沟
9999.0,0.0,西北风,4级,8.5,13.0,,2.7,2024-03-28 06:55,多云,101011400,门头沟
9999.0,0.0,西北风,微风,8.5,12.0,,1.5,2024-03-28 07:55,晴,101011400,门头沟
9999.0,0.0,西北风,4级,9.5,12.0,,3.5,2024-03-28 08:55,晴,101011400,门头沟
9999.0,0.0,西北风,4级,10.6,10.0,,4.5,2024-03-28 09:55,晴,101011400,门头沟
9999.0,0.0,西北风,4级,11.9,11.0,,6.1,2024-03-28 10:55,晴,101011400,门头沟
9999.0,0.0,西北风,4级,12.8,11.0,,6.9,2024-03-28 11:55,晴,101011400,门头沟
9999.0,0.0,东南风,微风,15.2,56.0,,13.6,2024-03-27 12:05,多云,101020200,闵行
9999.0,0.0,东南风,3级,15.9,54.0,,13.7,2024-03-27 13:05,多云,101020200,闵行
9999.0,0.0,东南风,3级,15.4,55.0,,12.8,2024-03-27 14:05,多云,101020200,闵行
9999.0,0.0,东南风,微风,15.2,57.0,,13.8,2024-03-27 15:05,多云,101020200,闵行
9999.0,0.0,东南风,微风,14.9,61.0,,13.7,2024-03-27 16:05,多云,101020200,闵行
9999.0,0.0,东南风,微风,13.6,68.0,,12.4,2024-03-27 17:05,阴,101020200,闵行
9999.0,0.0,东南风,3级,12.7,72.0,,10.7,2024-03-27 18:05,阴,101020200,闵行
9999.0,0.0,东南风,微风,12.5,74.0,,10.9,2024-03-27 19:05,阴,101020200,闵行
9999.0,0.0,东南风,微风,12.3,76.0,,11.0,2024-03-27 20:05,阴,101020200,闵行
9999.0,0.0,东风,微风,12.4,77.0,,11.3,2024-03-27 21:05,阴,101020200,闵行
9999.0,0.0,东南风,微风,12.6,76.0,,12.1,2024-03-27 22:05,阴,101020200,闵行
9999.0,0.0,东北风,微风,12.7,78.0,,12.6,2024-03-27 23:05,阴,101020200,闵行
9999.0,0.0,东南风,微风,12.8,79.0,,11.6,2024-03-28 00:05,阴,101020200,闵行
9999.0,0.0,东南风,微风,12.9,79.0,,12.5,2024-03-28 01:05,阴,101020200,闵行
9999.0,1.8,东南风,微风,12.3,89.0,,12.0,2024-03-28 02:05,中雨,101020200,闵行
9999.0,0.7,西北风,微风,12.3,93.0,,12.9,2024-03-28 03:05,小雨,101020200,闵行
9999.0,7.2,东南风,微风,12.1,95.0,,12.5,2024-03-28 04:05,大雨,101020200,闵行
9999.0,1.1,西北风,微风,12.3,95.0,,12.8,2024-03-28 05:05,小雨,101020200,闵行
9999.0,0.3,西北风,微风,12.4,95.0,,12.4,2024-03-28 06:05,小雨,101020200,闵行
9999.0,4.6,西北风,微风,12.3,95.0,,12.0,2024-03-28 07:05,中雨,101020200,闵行
9999.0,4.9,西北风,微风,12.3,95.0,,12.5,2024-03-28 08:05,中雨,101020200,闵行
9999.0,3.7,西北风,微风,12.7,95.0,,12.9,2024-03-28 09:05,中雨,101020200,闵行
9999.0,0.2,西北风,微风,12.9,93.0,,12.8,2024-03-28 10:10,小雨,101020200,闵行
9999.0,0.0,西北风,微风,13.2,90.0,,13.2,2024-03-28 11:05,阴,101020200,闵行
9999.0,0.0,东南风,微风,16.4,54.0,,14.8,2024-03-27 12:05,多云,101020300,宝山
9999.0,0.0,东南风,3级,16.5,51.0,,14.0,2024-03-27 13:05,多云,101020300,宝山
9999.0,0.0,东南风,3级,14.9,66.0,,12.8,2024-03-27 14:05,多云,101020300,宝山
9999.0,0.0,东南风,3级,13.6,70.0,,11.6,2024-03-27 15:05,多云,101020300,宝山
9999.0,0.0,东南风,3级,12.9,73.0,,10.1,2024-03-27 16:05,多云,101020300,宝山
9999.0,0.0,东南风,微风,12.9,75.0,,11.8,2024-03-27 17:05,阴,101020300,宝山
9999.0,0.0,东南风,微风,12.6,73.0,,11.1,2024-03-27 18:05,阴,101020300,宝山
9999.0,0.0,东南风,微风,12.3,76.0,,11.0,2024-03-27 19:05,阴,101020300,宝山
9999.0,0.0,东南风,微风,12.3,77.0,,10.6,2024-03-27 20:05,阴,101020300,宝山
9999.0,0.0,东南风,微风,12.4,76.0,,12.1,2024-03-27 21:05,阴,101020300,宝山
9999.0,0.0,东南风,微风,12.3,77.0,,11.0,2024-03-27 22:05,阴,101020300,宝山
9999.0,0.7,东南风,微风,11.6,88.0,,10.0,2024-03-27 23:05,小雨,101020300,宝山
9999.0,1.5,东南风,微风,11.5,93.0,,10.5,2024-03-28 00:05,小雨,101020300,宝山
9999.0,2.3,东南风,微风,11.7,94.0,,11.2,2024-03-28 01:05,中雨,101020300,宝山
9999.0,2.5,东南风,微风,11.8,95.0,,11.9,2024-03-28 02:05,中雨,101020300,宝山
